Word,Type,Meaning 1,Meaning 2,Meaning 3,Meaning 4,Meaning 5,Meaning 6,Meaning 7,Meaning 8,Meaning 9,Meaning 10
expedient,Adjective,serving to promote your interest,appropriate to a purpose; practical,,,,,,,,
anomaly,Noun,deviation from the normal or common order or form or rule,a person who is unusual,(astronomy,as observed from the sun,,,,,,
equivocal,Adjective,open to two or more interpretations; or of uncertain nature or significance; or (often,or ambiguous,open to question,uncertain as a sign or indication,,,,,,
lucid,Adjective,(of language,having a clear mind,capable of thinking and expressing yourself in a clear and consistent manner,transmitting light; able to be seen through with clarity,,,,,,
precipitate,Adjective,done with very great haste and without due deliberation,,,,,,,,,
assuage,Verb,cause to be more favorably inclined; gain the good will of,satisfy (thirst,"provide physical relief, as from pain",,,,,,,
erudite,Adjective,having or showing profound knowledge,,,,,,,,,
opaque,Adjective,not transmitting or reflecting light or radiant energy; impenetrable to sight,hard or impossible to understand,,,,,,,,
prodigal,Noun,a recklessly extravagant consumer,,,,,,,,,
prodigal,Adjective,recklessly wasteful,,,,,,,,,
enigma,Noun,something that baffles understanding and cannot be explained,a difficult problem,,,,,,,,
placate,Verb,cause to be more favorably inclined; gain the good will of,,,,,,,,,
zeal,Noun,a feeling of strong eagerness (usually in favor of a person or cause,excessive fervor to do something or accomplish some end,prompt willingness,,,,,,,
abstain,Verb,refrain from voting,choose not to consume,,,,,,,,
audacious,Adjective,invulnerable to fear or intimidation,unrestrained by convention or propriety,disposed to venture or take risks,,,,,,,
gullible,Adjective,naive and easily deceived or tricked,easily tricked because of being too trusting,,,,,,,,
laudable,Adjective,worthy of high praise,,,,,,,,,
pedant,Noun,a person who pays more attention to formal rules and book learning than they merit,,,,,,,,,
vacillate,Verb,be undecided about something; waver between conflicting positions or courses of action,move or sway in a rising and falling or wavelike pattern,,,,,,,,
engender,Verb,call forth,make (offspring,,,,,,,,
homogenous,Adjective,all of the same or similar kind or nature,,,,,,,,,
pragmatic,Noun,an imperial decree that becomes part of the fundamental law of the land,,,,,,,,,
pragmatic,Adjective,concerned with practical matters,or pragmatic,of or concerning the theory of pragmatism,guided by practical experience and observation rather than theory,,,,,,
volatile,Noun,a volatile substance; a substance that changes readily from solid or liquid to a vapor,,,,,,,,,
volatile,Adjective,evaporating readily at normal temperatures and pressures,liable to lead to sudden change or violence,marked by erratic changeableness in affections or attachments,tending to vary often or widely,,,,,,
apathy,Noun,an absence of emotion or enthusiasm,the trait of lacking enthusiasm for or interest in things generally,,,,,,,,
corroborate,Verb,establish or strengthen as with new evidence or facts,give evidence for,support with evidence or authority or make more certain or confirm,,,,,,,
ephemeral,Noun,"anything short-lived, as an insect that lives only for a day in its winged form",,,,,,,,,
ephemeral,Adjective,lasting a very short time,,,,,,,,,
laconic,Adjective,brief and to the point; effectively cut short,,,,,,,,,
mitigate,Verb,lessen or to try to lessen the seriousness or extent of,make less severe or harsh,,,,,,,,
advocate,Noun,a person who pleads for a cause or propounds an idea,a lawyer who pleads cases in court,,,,,,,,
advocate,Verb,push for something,"speak, plead, or argue in favor of",,,,,,,,
enervate,Verb,weaken mentally or morally,disturb the composure of,,,,,,,,
ingenuous,Adjective,characterized by an inability to mask your feelings; not devious,lacking in sophistication or worldliness,,,,,,,,
misanthrope,Noun,someone who dislikes people in general,,,,,,,,,
paradox,Noun,(logic,,,,,,,,,
venerate,Verb,regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of,,,,,,,,,
antipathy,Noun,a feeling of intense dislike,the object of a feeling of intense aversion; something to be avoided,,,,,,,,
deride,Verb,treat or speak of with contempt,,,,,,,,,
lethargic,Adjective,deficient in alertness or activity,,,,,,,,,
philanthropic,Adjective,generous in assistance to the poor,of or relating to or characterized by philanthropy,,,,,,,,
waver,Noun,someone who communicates by waving,the act of pausing uncertainly,the act of moving back and forth,,,,,,,
waver,Verb,pause or hold back in uncertainty or unwillingness,be unsure or weak,"move hesitatingly, as if about to give way",move or sway in a rising and falling or wavelike pattern,move back and forth very rapidly,sway from side to side,"give off unsteady sounds, alternating in amplitude or frequency",,,
bolster,Noun,a pillow that is often put across a bed underneath the regular pillows,,,,,,,,,
bolster,Verb,support and strengthen,prop up with a pillow or bolster,add padding to,,,,,,,
dissonance,Noun,a conflict of people's opinions or actions or characters,the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience,disagreeable sounds,,,,,,,
malleable,Adjective,easily influenced,capable of being shaped or bent or drawn out,,,,,,,,
abate,Verb,make less active or intense,become less in amount or intensity,,,,,,,,
aberrant,Noun,one whose behavior departs substantially from the norm of a group,,,,,,,,,
aberrant,Adjective,markedly different from an accepted norm,,,,,,,,,
abjure,Verb,"formally reject or disavow a formerly held belief, usually under pressure",,,,,,,,,
abscond,Verb,run away; usually includes taking something or somebody along,,,,,,,,,
acumen,Noun,a tapering point,shrewdness shown by keen insight,,,,,,,,
admonish,Verb,advise or counsel in terms of someone's behavior,warn strongly; put on guard,take to task,,,,,,,
aesthetic,Noun,(philosophy,,,,,,,,,
aesthetic,Adjective,relating to or dealing with the subject of aesthetics,concerning or characterized by an appreciation of beauty or good taste,aesthetically pleasing,,,,,,,
affectation,Noun,a deliberate pretense or exaggerated display,,,,,,,,,
aggrandize,Verb,add details to,,,,,,,,,
alleviate,Verb,"provide physical relief, as from pain",make easier,,,,,,,,
amalgamate,Verb,to bring or combine together or with something else,,,,,,,,,
amalgamate,Adjective,joined together into a whole,,,,,,,,,
ambiguous,Adjective,open to two or more interpretations; or of uncertain nature or significance; or (often,or ambiguous,having more than one possible meaning,having no intrinsic or objective meaning; not organized in conventional patterns,,,,,,
ambivalent,Adjective,uncertain or unable to decide about what course to follow,,,,,,,,,
ameliorate,Verb,to make better,get better,,,,,,,,
amenable,Adjective,disposed or willing to conform,responsive to suggestions and influences,open to being acted upon in a certain way,liable to answer to a higher authority,,,,,,
anachronism,Noun,something located at a time when it could not have existed or occurred,an artifact that belongs to another time,a person who seems to be displaced in time; who belongs to another age,,,,,,,
analogous,Adjective,similar or equivalent in some respects though otherwise dissimilar,corresponding in function but not in evolutionary origin,,,,,,,,
anoint,Verb,choose by or as if by divine intervention,administer an oil or ointment to; often in a religious ceremony of blessing,,,,,,,,
antithetical,Adjective,sharply contrasted in character or purpose,,,,,,,,,
appease,Verb,cause to be more favorably inclined; gain the good will of,overcome or allay,make peace with,,,,,,,
arbitrary,Adjective,based on or subject to individual discretion or preference or sometimes impulse or caprice,,,,,,,,,
archaic,Adjective,so extremely old as seeming to belong to an earlier period,little evolved from or characteristic of an earlier ancestral type,,,,,,,,
arduous,Adjective,characterized by effort to the point of exhaustion; especially physical effort,taxing to the utmost; testing powers of endurance,difficult to accomplish; demanding considerable mental effort and skill,,,,,,,
articulate,Verb,provide with a joint,put into words or an expression,"speak, pronounce, or utter in a certain way",unite by forming a joint or joints,express or state clearly,,,,,
articulate,Adjective,expressing yourself easily or characterized by clear expressive language,consisting of segments held together by joints,,,,,,,,
artless,Adjective,characterized by an inability to mask your feelings; not devious,simple and natural; without cunning or deceit,showing lack of art,(of persons,,,,,,
ascetic,Noun,someone who practices self denial as a spiritual discipline,,,,,,,,,
ascetic,Adjective,pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline,practicing great self-denial,,,,,,,,
astonishment,Noun,the feeling that accompanies something extremely surprising,,,,,,,,,
austere,Adjective,severely simple,of a stern or strict bearing or demeanor; forbidding in aspect,practicing great self-denial,,,,,,,
avarice,Noun,reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins,extreme greed for material wealth,,,,,,,,
aver,Verb,report or maintain,to declare or affirm solemnly and formally as true,,,,,,,,
banal,Adjective,repeated too often; overfamiliar through overuse,,,,,,,,,
belie,Verb,be in contradiction with,represent falsely,,,,,,,,
benign,Adjective,not dangerous to health; not recurrent or progressive (especially of a tumor,pleasant and beneficial in nature or influence,kindness of disposition or manner,,,,,,,
biased,Verb,influence in an unfair way,cause to be biased,,,,,,,,
biased,Adjective,favoring one person or side over another,,,,,,,,,
bombastic,Adjective,ostentatiously lofty in style,,,,,,,,,
brazen,Verb,face with defiance or impudence,,,,,,,,,
brazen,Adjective,unrestrained by convention or propriety,made of or resembling brass (as in color or hardness,,,,,,,,
bucolic,Noun,a country person,a short poem descriptive of rural or pastoral life,,,,,,,,
bucolic,Adjective,(used with regard to idealized country life,relating to shepherds or herdsmen or devoted to raising sheep or cattle,,,,,,,,
burgeon,Verb,grow and flourish,,,,,,,,,
calumny,Noun,a false accusation of an offense or a malicious misrepresentation of someone's words or actions,an abusive attack on a person's character or good name,,,,,,,,
candid,Adjective,characterized by directness in manner or speech; without subtlety or evasion,informal or natural; especially caught off guard or unprepared,openly straightforward and direct without reserve or secretiveness,,,,,,,
canon,Noun,a rule or especially body of rules or principles generally established as valid and fundamental in a field of art or philosophy,a priest who is a member of a cathedral chapter,a ravine formed by a river in an area with little rainfall,a contrapuntal piece of music in which a melody in one part is imitated exactly in other parts,a complete list of saints that have been recognized by the Roman Catholic Church,a collection of books accepted as holy scripture especially the books of the Bible recognized by any Christian church as genuine and inspired,,,,
capacity,Noun,capability to perform or produce,the susceptibility of something to a particular treatment,the amount that can be contained,the maximum production possible,a specified function,(computer science,in bytes,an electrical phenomenon whereby an electric charge is stored,"the power to learn or retain knowledge; in law, the ability to understand the facts and significance of your behavior",tolerance for alcohol
castigate,Verb,censure severely,inflict severe punishment on,,,,,,,,
catalyst,Noun,(chemistry,something that causes an important event to happen,,,,,,,,
caustic,Noun,any chemical substance that burns or destroys living tissue,,,,,,,,,
caustic,Adjective,harsh or corrosive in tone,"of a substance, especially a strong acid; capable of destroying or eating away by chemical action",,,,,,,,
censure,Noun,harsh criticism or disapproval,the state of being excommunicated,,,,,,,,
censure,Verb,rebuke formally,,,,,,,,,
chauvinist,Noun,a person with a prejudiced belief in the superiority of his or her own kind,an extreme bellicose nationalist,,,,,,,,
chicanery,Noun,the use of tricks to deceive someone (usually to extract money from them,,,,,,,,,
chronological,Adjective,relating to or arranged according to temporal order,,,,,,,,,
coalesce,Verb,mix together different elements,fuse or cause to grow together,,,,,,,,
commensurate,Adjective,corresponding in size or degree or extent,,,,,,,,,
compelling,Verb,force somebody to do something,necessitate or exact,,,,,,,,
compelling,Adjective,driving or forcing,tending to persuade by forcefulness of argument,,,,,,,,
comprehensive,Noun,an intensive examination testing a student's proficiency in some special field of knowledge,,,,,,,,,
comprehensive,Adjective,including all or everything,broad in scope,,,,,,,,
condone,Verb,"excuse, overlook, or make allowances for; be lenient with",,,,,,,,,
confound,Verb,be confusing or perplexing to; cause to be unable to think clearly,mistake one thing for another,,,,,,,,
connoisseur,Noun,an expert able to appreciate a field; especially in the fine arts,,,,,,,,,
consequential,Adjective,having important issues or results,,,,,,,,,
construe,Verb,make sense of; assign a meaning to,,,,,,,,,
consumption,Noun,the process of taking food into the body through the mouth (as by eating,involving the lungs with progressive wasting of the body,(economics,the act of consuming something,,,,,,
contend,Verb,maintain or assert,have an argument about something,"to make the subject of dispute, contention, or litigation","succeed in doing, achieving, or producing (something",compete for something; engage in a contest; measure oneself against others,be engaged in a fight; carry on a fight,,,,
convoluted,Verb,"curl, wind, or twist together",practice sophistry; change the meaning of or be vague about in order to mislead or deceive,,,,,,,,
convoluted,Adjective,rolled longitudinally upon itself,highly complex or intricate and occasionally devious,,,,,,,,
copious,Adjective,large in number or quantity (especially of discourse,affording an abundant supply,,,,,,,,
cosmopolitan,Noun,a sophisticated person who has travelled in many countries,,,,,,,,,
cosmopolitan,Adjective,growing or occurring in many parts of the world,composed of people from or at home in many parts of the world; especially not provincial in attitudes or interests,of worldwide scope or applicability,,,,,,,
covet,Verb,"wish, long, or crave for (something, especially the property of another person",,,,,,,,,
craft,Noun,the skilled practice of a practical occupation,a vehicle designed for navigation in or on water or air or through outer space,people who perform a particular kind of skilled work,skill in an occupation or trade,shrewdness as demonstrated by being skilled in deception,,,,,
craft,Verb,make by hand and with much skill,,,,,,,,,
craven,Noun,an abject coward,,,,,,,,,
craven,Adjective,lacking even the rudiments of courage; abjectly fearful,,,,,,,,,
credence,Noun,the mental attitude that something is believable and should be accepted as true,a kind of sideboard or buffet,,,,,,,,
credulous,Adjective,disposed to believe on little evidence,showing a lack of judgment or experience,,,,,,,,
decorum,Noun,propriety in manners and conduct,,,,,,,,,
deference,Noun,a courteous expression (by word or deed,courteous regard for people's feelings,a disposition or tendency to yield to the will of others,,,,,,,
deflect,Verb,prevent the occurrence of; prevent from happening,"turn from a straight course, fixed direction, or line of interest",turn aside and away from an initial or intended course,draw someone's attention away from something,impede the movement of (an opponent or a ball,,,,,
deftness,Noun,skillful performance or ability without difficulty,,,,,,,,,
delineate,Verb,show the form or outline of,determine the essential quality of,trace the shape of,make a mark or lines on a surface,describe in vivid detail,,,,,
delineate,Adjective,represented accurately or precisely,,,,,,,,,
demur,Verb,take exception to,enter a demurrer,,,,,,,,
denigrate,Verb,cause to seem less serious; play down,charge falsely or with malicious intent; attack the good name and reputation of someone,,,,,,,,
derivative,Noun,the result of mathematical differentiation; the instantaneous change of one quantity relative to another; df(x,"a compound obtained from, or regarded as derived from, another compound",a financial instrument whose value is based on another security,(linguistics,,,,,,
derivative,Adjective,resulting from or employing derivation,,,,,,,,,
desultory,Adjective,marked by lack of definite plan or regularity or purpose; jumping from one thing to another,,,,,,,,,
detachment,Noun,avoiding emotional involvement,the act of releasing from an attachment or connection,the state of being isolated or detached,a small unit of troops of special composition,coming apart,,,,,
determinant,Noun,a determining or causal element or factor,the site on the surface of an antigen molecule to which an antibody attaches itself,a square matrix used to solve simultaneous equations,,,,,,,
determinant,Adjective,having the power or quality of deciding,or determinant,,,,,,,,
diatribe,Noun,thunderous verbal attack,,,,,,,,,
didactic,Adjective,instructive (especially excessively,,,,,,,,,
dilettante,Noun,an amateur who engages in an activity without serious intentions and who pretends to have knowledge,,,,,,,,,
dilettante,Adjective,showing frivolous or superficial interest; amateurish,,,,,,,,,
dirge,Noun,a song or hymn of mourning composed or performed as a memorial to a dead person,,,,,,,,,
discern,Verb,detect with the senses,,,,,,,,,
discrepancy,Noun,a difference between conflicting facts or claims or opinions,an event that departs from expectations,,,,,,,,
disinterested,Adjective,unaffected by self-interest,,,,,,,,,
disparage,Verb,express a negative opinion of,,,,,,,,,
disparate,Adjective,fundamentally different or distinct in quality or kind,including markedly dissimilar elements,,,,,,,,
dispassionate,Adjective,unaffected by strong emotion or prejudice,,,,,,,,,
disregard,Noun,lack of attention and due care,willful lack of care and attention,,,,,,,,
disregard,Verb,refuse to acknowledge,bar from attention or consideration,give little or no attention to,,,,,,,
dissemble,Verb,make believe with the intent to deceive,hide under a false appearance,behave unnaturally or affectedly,,,,,,,
disseminate,Verb,cause to become widely known,,,,,,,,,
diverge,Verb,move or draw apart,have no limits as a mathematical series,extend in a different direction,be at variance with; be out of line with,,,,,,
dogma,Noun,a religious doctrine that is proclaimed as true without proof,a doctrine or code of beliefs accepted as authoritative,,,,,,,,
dupe,Noun,a person who is tricked or swindled,,,,,,,,,
dupe,Verb,fool or hoax,,,,,,,,,
ebullient,Adjective,joyously unrestrained,,,,,,,,,
eccentric,Noun,a person with an unusual or odd personality,a person of a specified kind (usually with many eccentricities,,,,,,,,
eccentric,Adjective,conspicuously or grossly unconventional or unusual,not having a common center; not concentric,,,,,,,,
eclectic,Noun,someone who selects according to the eclectic method,,,,,,,,,
eclectic,Adjective,selecting what seems best of various styles or ideas,,,,,,,,,
efficacy,Noun,capacity or power to produce a desired effect,,,,,,,,,
elegy,Noun,a mournful poem; a lament for the dead,,,,,,,,,
elicit,Verb,"call forth (emotions, feelings, and responses",deduce (a principle,a meaning,derive by reason,,,,,,
eloquence,Noun,powerful and effective language,,,,,,,,,
eminent,Adjective,standing above others in quality or position,of imposing height; especially standing out above others,,,,,,,,
empirical,Adjective,derived from experiment and observation rather than theory,relying on medical quackery,,,,,,,,
emulate,Verb,"strive to equal or match, especially by imitating",imitate the function of (another system,compete with successfully; approach or reach equality with,,,,,,,
enhance,Verb,increase,make better or more attractive,,,,,,,,
entitlement,Noun,right granted by law or contract (especially a right to benefits,,,,,,,,,
equable,Adjective,not varying,not easily irritated,,,,,,,,
equivocate,Verb,be deliberately ambiguous or unclear in order to mislead or withhold information,,,,,,,,,
erroneous,Adjective,containing or characterized by error,,,,,,,,,
eschew,Verb,avoid and stay away from deliberately; stay clear of,,,,,,,,,
esoteric,Adjective,confined to and understandable by only an enlightened inner circle,,,,,,,,,
estimable,Adjective,deserving of respect or high regard,deserving of esteem and respect,may be computed or estimated,,,,,,,
exacerbate,Verb,make worse,exasperate or irritate,,,,,,,,
exculpate,Verb,pronounce not guilty of criminal charges,,,,,,,,,
exonerate,Verb,pronounce not guilty of criminal charges,,,,,,,,,
expatiate,Verb,"add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing",,,,,,,,,
explicate,Verb,make plain and comprehensible,"elaborate, as of theories and hypotheses",,,,,,,,
exposition,Noun,a systematic interpretation or explanation (usually written,a collection of things (goods or works of art etc.,an account that sets forth the meaning or intent of a writing or discourse,(music,especially in sonata form,,,,,
extrapolate,Verb,draw from specific cases for more general cases,estimate the value of,gain knowledge of (an area not known or experienced,,,,,,,
facetious,Adjective,cleverly amusing in tone,,,,,,,,,
facilitate,Verb,make easier,be of use,increase the likelihood of (a response,,,,,,,
fallacious,Adjective,containing or based on a fallacy,intended to deceive,based on an incorrect or misleading notion or information,,,,,,,
fastidious,Adjective,giving careful attention to detail; hard to please; excessively concerned with cleanliness,having complicated nutritional requirements; especially growing only in special artificial cultures,,,,,,,,
fluctuate,Verb,cause to fluctuate or move in a wavelike pattern,move or sway in a rising and falling or wavelike pattern,be unstable,,,,,,,
foment,Verb,try to stir up public opinion,bathe with warm water or medicated lotions,,,,,,,,
forestall,Verb,keep from happening or arising; make impossible,act in advance of; deal with ahead of time,,,,,,,,
fortuitous,Adjective,having no cause or apparent cause,occurring by happy chance,,,,,,,,
frugal,Adjective,avoiding waste,,,,,,,,,
gainsay,Verb,deny or contradict (a fact or statement),,,,,,,,,
galvanize,Verb,to stimulate to action,cover with zinc,stimulate (muscles,,,,,,,
gauche,Adjective,lacking social polish,,,,,,,,,
glib,Adjective,marked by lack of intellectual depth,having only superficial plausibility,artfully persuasive in speech,,,,,,,
gregarious,Adjective,(of animals,instinctively or temperamentally seeking and enjoying the company of others,(of plants,,,,,,,
guile,Noun,shrewdness as demonstrated by being skilled in deception,the quality of being crafty,the use of tricks to deceive someone (usually to extract money from them,,,,,,,
hackneyed,Adjective,repeated too often; overfamiliar through overuse,,,,,,,,,
harangue,Noun,a loud bombastic declamation expressed with strong emotion,,,,,,,,,
harangue,Verb,deliver a harangue to; address forcefully,,,,,,,,,
hedonism,Noun,the pursuit of pleasure as a matter of ethical principle,an ethical system that evaluates the pursuit of pleasure as the highest good,,,,,,,,
hierarchical,Adjective,classified according to various criteria into successive levels or layers,,,,,,,,,
hyperbole,Noun,extravagant exaggeration,,,,,,,,,
iconoclast,Noun,a destroyer of images used in religious worship,someone who attacks cherished ideas or traditional institutions,,,,,,,,
ideological,Adjective,of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation,concerned with or suggestive of ideas,,,,,,,,
imminent,Adjective,close in time; about to occur,,,,,,,,,
immutable,Adjective,not subject or susceptible to change or variation in form or quality or nature,constant and unchanging,,,,,,,,
impair,Verb,make worse or less effective,make imperfect,,,,,,,,
impediment,Noun,something immaterial that interferes with or delays action or progress,any structure that makes progress difficult,,,,,,,,
imperturbable,Adjective,not easily perturbed or excited or upset; marked by extreme calm and composure,,,,,,,,,
implacable,Adjective,incapable of being placated,,,,,,,,,
implicit,Adjective,implied though not directly expressed; inherent in the nature of something,being without doubt or reserve,,,,,,,,
imprudence,Noun,a lack of caution in practical affairs,,,,,,,,,
impudent,Adjective,marked by casual disrespect,improperly forward or bold,,,,,,,,
inadvertent,Adjective,happening by chance or unexpectedly or unintentionally,,,,,,,,,
Inchoate,Adjective,only partly in existence; imperfectly formed,,,,,,,,,
inconclusive,Adjective,not conclusive; not putting an end to doubt or question,,,,,,,,,
indebted,Adjective,owing gratitude or recognition to another for help or favors etc,under a legal obligation to someone,,,,,,,,
indefatigable,Adjective,showing sustained enthusiastic action with unflagging vitality,,,,,,,,,
indolent,Adjective,disinclined to work or exertion,"(of tumors, e.g.",,,,,,,,
infer,Verb,reason by deduction; establish by deduction,draw from specific cases for more general cases,conclude by reasoning; in logic,guess correctly; solve by guessing,believe to be the case,,,,,
inimical,Adjective,not friendly,,,,,,,,,
Innocuous,Adjective,not injurious to physical or mental health,not causing disapproval,lacking intent or capacity to injure,,,,,,,
inscrutable,Adjective,of an obscure nature,,,,,,,,,
insipid,Adjective,lacking taste or flavor or tang,lacking interest or significance or impact,,,,,,,,
intensive,Noun,a modifier that has little meaning except to intensify the meaning it modifies,,,,,,,,,
intensive,Adjective,characterized by a high degree or intensity; often used as a combining form,tending to give force or emphasis,of agriculture; intended to increase productivity of a fixed area by expending more capital and labor,,,,,,,
intermediary,Noun,a negotiator who acts as a link between parties,,,,,,,,,
intimate,Noun,someone to whom private matters are confided,,,,,,,,,
intimate,Verb,give to understand,imply as a possibility,,,,,,,,
intimate,Adjective,"marked by close acquaintance, association, or familiarity",concerning things deeply private and personal,having or fostering a warm or friendly and informal atmosphere,having mutual interests or affections; of established friendship,used euphemistically to refer to the genitals,involved in a sexual relationship,or sexual,innermost or essential,thoroughly acquainted through study or experience,
intractable,Adjective,not tractable; difficult to manage or mold,,,,,,,,,
intransigent,Adjective,"impervious to pleas, persuasion, requests, reason",,,,,,,,,
invulnerable,Adjective,immune to attack; impregnable,,,,,,,,,
irresolute,Adjective,uncertain how to act or proceed,,,,,,,,,
laud,Verb,"praise, glorify, or honor",,,,,,,,,
litigation,Noun,a legal proceeding in a court; a judicial contest to determine and enforce legal rights,,,,,,,,,
luminous,Adjective,softly bright or radiant,,,,,,,,,
magnanimity,Noun,liberality in bestowing gifts; extremely liberal and generous of spirit,,,,,,,,,
maladroit,Adjective,not adroit,,,,,,,,,
maverick,Noun,someone who exhibits great independence in thought and action,an unbranded range animal (especially a stray calf,,,,,,,,
maverick,Adjective,independent in behavior or thought,,,,,,,,,
mendacity,Noun,the tendency to be untruthful,,,,,,,,,
mercurial,Adjective,liable to sudden unpredictable change,relating to or under the (astrological,"relating to or having characteristics (eloquence, shrewdness, swiftness, thievishness",relating to or containing or caused by mercury,,,,,,
meticulous,Adjective,marked by precise accordance with details,marked by extreme care in treatment of details,,,,,,,,
modest,Adjective,marked by simplicity; having a humble opinion of yourself,not large but sufficient in size or amount,free from pomp or affectation,not offensive to sexual mores in conduct or appearance,low or inferior in station or quality,humble in spirit or manner; suggesting retiring mildness or even cowed submissiveness,"relatively moderate, limited, or small",,,
